ID2	ID1	fract_sites_IBD
J0131403_1511	J0020302_1506	0.05176
J0131403_1511	J0030409_1610	0
J0131403_1511	J0050607_1412	0.05393
J0131403_1511	J0050617_1611	0.02404
J0131406_1512	J0101103_1702	0
J0131406_1512	J0111208_1610	0
J0131406_1512	J0111201_1412	0
J0131406_1512	J0050607_1412	0
J0131406_1512	J0010103_1412	0.05648
J0131406_1512	J0020302_1506	0.06923
J0131406_1512	J0030409_1610	0
J0131406_1512	J0060701_1511	0
J0131406_1512	J0030406_1705	0.01839
J0131406_1512	J0030406_1701	0.01705
J0131406_1512	J0050617_1611	0
J0131406_1512	J0131403_1511	0
J0131406_1512	J0101103_1703	0
J0131406_1512	J0030406_1702	0.01752
J0131406_1512	J0070804_1610	0.08482
J0131406_1512	J0101103_1701	0
J0131406_1512	J0050611_1611	0
J0141503_1511	J0111208_1610	0.02533
J0141503_1511	J0101103_1703	0
J0141503_1511	J0050611_1611	0.02217
J0141503_1511	J0030406_1701	0.08085
J0141503_1511	J0101103_1701	0
J0141503_1511	J0050617_1611	0.02818
J0141503_1511	J0111201_1412	0
J0141503_1511	J0020302_1506	0.07083
J0141503_1511	J0030406_1702	0.06288
J0141503_1511	J0101103_1702	0
J0141503_1511	J0060701_1511	0.10902
J0141503_1511	J0070804_1610	0.05875
J0141503_1511	J0050607_1412	0.08929
J0141503_1511	J0030406_1705	0.07038
J0141503_1511	J0131406_1512	0
J0141503_1511	J0010103_1412	0
J0141503_1511	J0131403_1511	0.06555
J0141503_1511	J0030409_1610	0.00739
J0151608_1701	J0030406_1705	0.02279
J0151608_1701	J0101103_1702	0.00671
J0151608_1701	J0020302_1506	0.01616
J0151608_1701	J0050617_1611	0.04328
J0151608_1701	J0111201_1412	0
J0151608_1701	J0030409_1610	0.01684
J0151608_1701	J0131403_1511	0
J0151608_1701	J0111208_1610	0.00992
J0151608_1701	J0050607_1412	0.05139
J0151608_1701	J0101103_1703	0
J0151608_1701	J0030406_1701	0.02288
J0151608_1701	J0131406_1512	0
J0151608_1701	J0101103_1701	0.00765
J0151608_1701	J0030406_1702	0.02387
J0151608_1701	J0010103_1412	0
J0151608_1701	J0050611_1611	0.00991
J0151608_1701	J0060701_1511	0
J0151608_1701	J0141503_1511	0.06419
J0151608_1701	J0070804_1610	0.02906
J0151612_1511	J0060701_1511	0.18631
J0151612_1511	J0131406_1512	0
J0151612_1511	J0030409_1610	0
J0151612_1511	J0131403_1511	0.99052
J0151612_1511	J0010103_1412	0
J0151612_1511	J0050617_1611	0.05478
J0151612_1511	J0030406_1702	0.03576
J0151612_1511	J0050611_1611	0.00887
J0151612_1511	J0030406_1705	0.0341
J0151612_1511	J0050607_1412	0.00776
J0151612_1511	J0151608_1701	0
J0151612_1511	J0070804_1610	0
J0151612_1511	J0101103_1701	0.03501
J0151612_1511	J0020302_1506	0.06015
J0151612_1511	J0111201_1412	0.0179
J0151612_1511	J0030406_1701	0.04091
J0151612_1511	J0111208_1610	0.00899
J0151612_1511	J0101103_1702	0.03556
J0151612_1511	J0101103_1703	0
J0151612_1511	J0141503_1511	0.28602
J0171802_1611	J0030406_1702	0.01548
J0171802_1611	J0101103_1703	0
J0171802_1611	J0030409_1610	0
J0171802_1611	J0111201_1412	0
J0171802_1611	J0050607_1412	0.02911
J0171802_1611	J0101103_1701	0
J0171802_1611	J0131403_1511	0.02675
J0171802_1611	J0020302_1506	0.00752
J0171802_1611	J0070804_1610	0
J0171802_1611	J0010103_1412	0.02701
J0171802_1611	J0060701_1511	0
J0171802_1611	J0101103_1702	0
J0171802_1611	J0131406_1512	0
J0171802_1611	J0151608_1701	0.03884
J0171802_1611	J0151612_1511	0.04033
J0171802_1611	J0111208_1610	0.02066
J0171802_1611	J0050611_1611	0.0336
J0171802_1611	J0050617_1611	0.9936
J0171802_1611	J0141503_1511	0.03652
J0171802_1611	J0030406_1705	0.025
J0171802_1611	J0030406_1701	0.02445
J0171804_1610	J0151608_1701	0
J0171804_1610	J0050611_1611	0.01308
J0171804_1610	J0030406_1701	0
J0171804_1610	J0171802_1611	0
J0171804_1610	J0060701_1511	0
J0171804_1610	J0030406_1702	0
J0171804_1610	J0030406_1705	0
J0171804_1610	J0030409_1610	0
J0171804_1610	J0111201_1412	0
J0171804_1610	J0101103_1703	0
J0171804_1610	J0141503_1511	0.01565
J0171804_1610	J0050617_1611	0
J0171804_1610	J0151612_1511	0.02275
J0171804_1610	J0070804_1610	0.90484
J0171804_1610	J0010103_1412	0.03464
J0171804_1610	J0111208_1610	0.01319
J0171804_1610	J0101103_1701	0.0214
J0171804_1610	J0020302_1506	0
J0171804_1610	J0131403_1511	0
J0171804_1610	J0101103_1702	0.02162
J0171804_1610	J0131406_1512	0.04825
J0171804_1610	J0050607_1412	0
J0171805_1611	J0060701_1511	0
J0171805_1611	J0131403_1511	0.04211
J0171805_1611	J0111201_1412	0
J0171805_1611	J0030409_1610	0.00669
J0171805_1611	J0030406_1705	0
J0171805_1611	J0101103_1703	0
J0171805_1611	J0070804_1610	0.03687
J0171805_1611	J0141503_1511	0.08387
J0171805_1611	J0020302_1506	0.06879
J0171805_1611	J0030406_1701	0
